"merchant_id","merchant_name","city"
"MER000KK0WX8BVU","Campbell and Sons","Grahamfort"
"MER005IUMIR34KD","Phillips Ltd","West Kristopher"
"MER00OOSJ699HUC","Bowman-Drake","Desireemouth"
"MER00RPMT178NQB","Wiley, Valenzuela and Wright","Taylormouth"
"MER012386LYG6IW","Green-Rush","West Matthewview"
"MER01D07NKXYFYU","Garcia Inc","Tonyfort"
"MER01QMWWOL97C8","Garcia-Parsons","South Petermouth"
"MER01UTQ2GC34X6","Mccoy and Sons","Martinview"
"MER026D9O3SSCD6","Harris, Ward and Acevedo","Ingramport"
"MER02K39TVBHCQG","Fernandez-Woods","Tuckerburgh"
"MER02RR9HMKK0RH","Huang-Wright","Joannaland"
"MER02Z8EL3KQ14T","Day Inc","Youngville"
"MER030D15IUBST7","Rodriguez, Fisher and Williams","Christopherfurt"
"MER03AIZP4EX2H4","Garcia-Brady","North Wesleychester"
"MER03RK45JCTCVK","Perez Group","Haileyfort"
"MER041GNYFYVHHS","Lee and Sons","West Karenview"
"MER041RS0HKUVG8","Rogers PLC","West Jennifermouth"
"MER04577Q3LQ10Y","Macias and Sons","Williamfort"
"MER046O6N852OP6","Long, Christensen and Hernandez","Andersonville"
"MER049SHRE4LXG7","Levy Inc","Hancockview"
"MER049Z0D2LAMAJ","Cruz-Skinner","Johnsonmouth"
"MER04AILYRHEDNH","Levine, Sanders and Hardy","Westton"
"MER04B0S1HIRPRP","Young LLC","North Margaret"
"MER04SNMG9VHC5Y","Mcpherson and Sons","Lewisside"
"MER04YL11UMNQ3L","Gonzalez and Sons","Brittanyfurt"
"MER04YSZ20HZODE","Fitzgerald, Smith and Strong","Huangville"
"MER050EB8B7IZBH","Campbell, Thomas and Frye","Jonathanport"
"MER059J4AHQJQZS","Chapman LLC","South Anna"
"MER05DF7O5I51FR","Hall Group","South Jimmyfort"
"MER05MKMW1SN0DE","Delacruz-Caldwell","Hubbardland"
"MER05O8VG8C6QUY","Wells-Jordan","Williamtown"
"MER068UDHFGR9D8","Williams, Castro and Martin","Lake Amber"
"MER069HJCH16B2G","Velazquez-Anthony","Davisland"
"MER06H56LKPO7XS","White PLC","Zacharytown"
"MER06LJT6I5X2LM","Williams-Cordova","New Allison"
"MER06MGGXYZIM73","Suarez-Green","Port Logan"
"MER06VCVL3MZRQ4","Williams and Sons","Angelaton"
"MER076WEK19UZVR","White-Patterson","Williamsshire"
"MER079WPJAB6DLI","Jenkins-Richardson","Laurabury"
"MER07FBDU2Q4KB3","Williams, Anderson and Hayes","Vazquezport"
"MER07KMZQU08ZK8","Garcia and Sons","Wolffurt"
"MER07TBACS5ZB77","Chambers LLC","West Emilyfort"
"MER07U3XCKZH50J","Carr-Walker","Mcknightville"
"MER088GBS8830D7","Gordon Group","Simmonston"
"MER08M0U6FMGV6G","Thomas-Williams","South Davidburgh"
"MER08VT169BDAQ6","Lynch-Howard","West Aarontown"
"MER08XY3T8WYMXR","Wolfe-Tucker","Amyhaven"
"MER098LLO5RAP5J","Johnson-Bailey","Ellenstad"
"MER09C0WULQ4085","Ray, Foster and Sexton","North Keith"
"MER0A0S381LFTZN","Kelly-Pena","Danielmouth"
"MER0ATEXJG7BIF8","Wells Inc","New Kimberlyside"
"MER0AX0WAJ1GF4M","Weaver Inc","Port Stevenfurt"
"MER0B0LQQRN01EE","Vega-Harvey","East Danielview"
"MER0B32RM7J13GR","Knight-Marks","Port Summerfort"
"MER0B6MWS81KOZO","Nash-Cooper","Graceport"
"MER0BDIENM67Y62","Sharp-Cox","Lake Rhondabury"
"MER0BH1CSXXCHVD","Martinez Group","Alextown"
"MER0BHD2KQ7YG8S","Elliott, Robbins and Davis","Ryantown"
"MER0BW74FK82KOC","Patterson Ltd","Jillland"
"MER0COGP9BP9PU2","Leach Ltd","Alvarezport"
"MER0DREGK039B3U","Rivas-Elliott","New Timothy"
"MER0DSMNSC4EJKU","Lopez-Mathis","Lake Christopherchester"
"MER0E4MKSXQ0PZ4","Rowland LLC","North Taylorburgh"
"MER0EX5GZ6SVXJ4","Williams-Young","North Ashleyberg"
"MER0F1QTK4AS2UU","Baker-Gonzales","Robertsview"
"MER0FEVKEYWZUQQ","Middleton Group","Adamsville"
"MER0FPEW0WRRQXY","Brown-Cobb","Port Coreyborough"
"MER0FXBP3SXRIH1","Jordan-Riddle","South Rebecca"
"MER0G6R4S973F11","Mejia, Schmidt and Escobar","Weissmouth"
"MER0G863CGW6DEU","Mcclure and Sons","Port Andrea"
"MER0GA3UMWMNKRZ","Chandler Group","Robertsfort"
"MER0GWIH095LFI6","Ortiz, Hernandez and Christensen","South Michelle"
"MER0H72T6G8SEJJ","Everett PLC","Port Carlos"
"MER0HPDH3VKLCA0","Goodman-Moore","Lewischester"
"MER0HRJUHWGJK2N","Hale and Sons","Alexisport"
"MER0HZ73AJHAMBL","Adams Ltd","New Diana"
"MER0HZH0FEMG5ED","Aguilar, Cervantes and Mckenzie","Higginstown"
"MER0I0J1LFAZDHM","Daniels, Cunningham and Bush","Port Kristen"
"MER0IGETWRAY574","Nichols-Briggs","East Tammyfurt"
"MER0IVHM9JNBQGF","Gardner, Franklin and Roman","South Eric"
"MER0IWA477RK0J1","Baldwin, Elliott and Steele","East Staceyfort"
"MER0JBYX4EVSAIV","Ferguson Inc","Karenchester"
"MER0JF2PSJFJYUH","Anderson-Jenkins","Fernandezville"
"MER0JF6YCDZG6NN","Fleming, Mckenzie and Shaffer","North Jamesshire"
"MER0JHOE74DC1PT","Wheeler-Thomas","West Richardfort"
"MER0JMGLEH597T8","Meyer and Sons","Rebeccaport"
"MER0JS5RZZLUATM","Hughes and Sons","Jonathanmouth"
"MER0JVG4UUH9DYG","Hurley, Ramos and Armstrong","Davidmouth"
"MER0K39H965IRQS","Sutton and Sons","Bassberg"
"MER0K3WPG0KDI0Q","Barnes PLC","Lake Ricardoberg"
"MER0K7WCH3NF56O","Butler, Jones and Crawford","East Amytown"
"MER0KFPGZ2V851O","Hardy, Little and Richards","South Joymouth"
"MER0KVL75OQUK8N","Hill and Sons","Martinezborough"
"MER0KWV5ZMGBVE5","Hamilton-Fox","Meghanstad"
"MER0L9NGP22Y988","Phillips, Porter and Campbell","North Peter"
"MER0LCUSKDI1QYI","English, Reed and Gonzales","East John"
"MER0LDTXCXU4HT9","King-Mueller","New Joanne"
"MER0LGCF7QANJPO","French-Howard","Port Whitneymouth"
"MER0LN71AS3NBLT","Cisneros PLC","Salinasside"
"MER0MGSTKPN7PI3","Long-Harrell","North Robert"
"MER0NHNHI4JIR9S","Clark, Morris and Moore","North Darrellchester"
"MER0NTF0T99Y6RO","Mack, Boyd and Hudson","East Kathleen"
"MER0O6QBH3CJF6Z","Christian, Davies and Crawford","Banksfort"
"MER0O8SQ9YXS81K","Harris-Beltran","South Robert"
"MER0O8U5RK2FHMI","Schaefer, Powell and Hill","Wendymouth"
"MER0OF8FCDORAUW","Herring LLC","Shermanfurt"
"MER0OL662GUVLG7","Harrell-Brown","Taylorland"
"MER0ORHQX0N49BZ","Porter-Williams","Port Cynthia"
"MER0OUJ2HNKS2F9","Henderson PLC","Makaylaview"
"MER0P0NTN6HOE4E","Rowe-Baker","Lake Jerryfurt"
"MER0P2R7SKNKJKI","Oneill Ltd","Robertchester"
"MER0P5AD7WPEN68","Meadows-Delacruz","Connieberg"
"MER0P8Q9VOT5WPI","Anthony-Hurley","New Alejandro"
"MER0PSGJCO2OU2K","Scott-Miller","Beckerland"
"MER0PXLEARBU15H","Huff Inc","Lake Zachary"
"MER0QM3BN27F28V","Smith, Flores and Jordan","Matthewville"
"MER0QZSLXYDJK10","Rodriguez-Dorsey","Allenberg"
"MER0RIQ8M5XUEQD","Salazar Inc","Mooreton"
"MER0S4Y3BTU4GGH","Ball LLC","West Jonathonstad"
"MER0SZ24J0ND410","Gray-Cunningham","Villanuevashire"
"MER0T871JSR32RG","Carroll-Hernandez","Garciaburgh"
"MER0TMZK609KBZL","Pace-Morgan","Hoodport"
"MER0U90SEJ8BMW3","Lawrence Inc","North Jocelyn"
"MER0UFFFKOTWMUC","Mcintosh and Sons","Caseyshire"
"MER0UPIHK5JVY69","Murphy LLC","Younghaven"
"MER0USJUGDEAK8V","Johnson, Little and Robinson","Priceport"
"MER0UXJFLQAEVDO","Acosta, Hill and Rodriguez","New Patriciaton"
